Job Category,Date,Searched Job Title,Searched Job Location,Job Portal,Job Date Posted,Job Title,Company Name,Job Location,Job Phone No.,Job Email,Job Link,Job Description
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:31,SDET,Franklin-TN,Monster,13 days ago,Sr. SDET (C#/ Selenium),Qentelli,"Nashvle, TN",,,https://job-openings.monster.com/sr-sdet-c-selenium-nashvle-tn-us-qentelli/219125228,"Title: SDET (C#/ Selenium)
Duration: 12+ Months
Location: Nashville, TN
Skills:
1. Selenium
2. C#
3. Mobile Testing

Need senior SDET with excellent experience with Selenium and who has worked on testing of C# based applications.

The position will be remote till the COVID situation ends.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:33,SDET,Franklin-TN,Monster,13 days ago,Sr. Python Engineer/ SDET,Qentelli,"Nashvle, TN",,,https://job-openings.monster.com/sr-python-engineer-sdet-nashvle-tn-us-qentelli/219125237,"Title: Sr, Python Engineer/ SDET
Location: Nashville, TN
Duration: 24+ Months
Minimum 5 years’ experience with Python and Selenium.
Experience with pytest.
Experience in developing Test Automation frameworks.
Experience with Selenium Grid.
Experience with Test Automation in CI/CD pipeline.
Strong understanding of QA and QE
Experience with Docker is a plus
Experience in mobile testing with Appium is a plus
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:34,SDET,Franklin-TN,Monster,Posted today,Senior Software Development Engineer in Test (SDET),IDEMIA,"Franklin, TN",,isisisisis,https://job-openings.monster.com/senior-software-development-engineer-in-test-sdet-franklin-tn-us-idemia/ce3581d0-6494-4059-9890-58211cace649,"IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We are a distributed company leveraging the latest technologies to deliver world-class products in the private and public sectors of finance, telecom, identity, security, retail, sports entertainment, commercial, government, and IoT. We use a variety of technologies and approaches to deliver quality product and services to government agencies and technology companies. IDEMIA is a made up of a group of 14,000 diverse people from different nationalities, speaking over 20 different languages. Together, our solutions impact the everyday lives of citizens and nations. In this ever-changing world, protecting your identity is paramount. Join the team that is ensuring one person- one identity.
About the Role:
We are looking for aseniorsoftware engineer in test to join ourengineeringteam in Franklin, TN. In this role, you will be a contributor on a team of developers to design and build automated testsforsecure servicesand applications that make up ourSaaS biometric-based enrollment ecosystem that delivers services to millions of customers.


Required Skills
You are a US Citizen (required)
You have5+ years of experience as a software engineer or software engineer in test.
You are a self-starter with a strong work ethic and attention to detail.
Youdo notlet the boundaries of essential responsibilities limit what you can do to help the team
You possess a tenacious need to learn and grow.
You arehighly skilledwith the Java programming language, Linux, SQL, and object-oriented concepts.
You have experience with Spring, JPA, Hibernate, and Domain Driven Design.
You have experience testing backend monolithic applications that have migrated to microservice architecture.
You have experience utilizing Amazon Web Services as part of solutions.
You have written as well as maintained unit and integration tests.
Whatarethehigh levelessential responsibilities?
You willsupport thetesting implementation to support the development and maintenance ofhighly scalable, fault-tolerant, enrollment platformmicroservices and applications.
You will identify and executefixes to resolvetechnical debt items on our automation ecosystem.
You will participate in design and development of quality practices through test strategies and test automation.
You will refactor and update existing regression test suites for new enhancements.


Required Experience
Must be United States citizen (dual citizenship may be allowed)
IDEMIA is an equal opportunity employer.
We evaluate qualified applicants without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:35,SDET,Franklin-TN,Monster,22 days ago,Senior Software Development Engineer in Test (SDET),MorphoTrust,"Franklin, TN",452-562-6589,,https://job-openings.monster.com/senior-software-development-engineer-in-test-sdet-franklin-tn-us-morphotrust/08573144-685f-4d98-ab3e-edab7614a930,"IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We are a distributed company leveraging the latest technologies to deliver world-class products in the private and public sectors of finance, telecom, identity, security, retail, sports entertainment, commercial, government, and IoT. We use a variety of technologies and approaches to deliver quality product and services to government agencies and technology companies. IDEMIA is a made up of a group of 14,000 diverse people from different nationalities, speaking over 20 different languages. Together, our solutions impact the everyday lives of citizens and nations. In this ever-changing world, protecting your identity is paramount. Join the team that is ensuring one person- one identity.
About the Role:
We are looking for aseniorsoftware engineer in test to join ourengineeringteam in Franklin, TN. In this role, you will be a contributor on a team of developers to design and build automated testsforsecure servicesand applications that make up ourSaaS biometric-based enrollment ecosystem that delivers services to millions of customers.
You are a US Citizen (required)
You have5 years of experience as a software engineer or software engineer in test.
You are a self-starter with a strong work ethic and attention to detail.
Youdo notlet the boundaries of essential responsibilities limit what you can do to help the team
You possess a tenacious need to learn and grow.
You arehighly skilledwith the Java programming language, Linux, SQL, and object-oriented concepts.
You have experience with Spring, JPA, Hibernate, and Domain Driven Design.
You have experience testing backend monolithic applications that have migrated to microservice architecture.
You have experience utilizing Amazon Web Services as part of solutions.
You have written as well as maintained unit and integration tests.
Whatarethehigh levelessential responsibilities?
You willsupport thetesting implementation to support the development and maintenance ofhighly scalable, fault-tolerant, enrollment platformmicroservices and applications.
You will identify and executefixes to resolvetechnical debt items on our automation ecosystem.
You will participate in design and development of quality practices through test strategies and test automation.
You will refactor and update existing regression test suites for new enhancements.
Must be United States citizen (dual citizenship may be allowed)
IDEMIA is an equal opportunity employer.
We evaluate qualified applicants without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:36,SDET,Franklin-TN,Monster,+30 days ago,SDET Test Automation,LanceSoft Inc,"Franklin, TN",,,https://job-openings.monster.com/sdet-test-automation-franklin-tn-us-lancesoft-inc/c166d1b6-178d-491b-a726-093d6899791b,"Job Description:
Regarding SDET – Test Automation – Candidate need not have development skills in Angular, our need is developing automation test for Angular applications. Protractor is a testing framework for angular application, so candidates having good experience in Protractor will have experience in testing Angular application. We are ok if the candidates don't have test cafe´ it is not mandatory. Please note this is a Sr. QA position, so candidates should have good experience in developing automation test framework from scratch. Engineering background (SDET) + Test Automation + Protractor are absolute must, if the candidate is really strong in these areas but less experience with other skills and has a track record of learning new skills and contributing then we will give a try.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:38,SDET,Franklin-TN,Monster,+30 days ago,"Software Development Engineer, Test",iHeartMedia,"Nashville, TN",,ssssss,https://job-openings.monster.com/software-development-engineer-test-nashville-tn-us-iheartmedia/07cb1d6c-3bf0-455a-8db4-2a8c475ccd6f,"Software Development Engineer, Test

## Nashville, TN

### Technology and Development

iHeartRadio is seeking multiple talented Software Developers in Test (SDET) to join our engineering team in Nashville, TN! This Engineer will own responsibility for Quality in our mobile and web platforms. In this role, expect to be involved in testing new features, identifying risks during product planning, developing core infrastructure around UI Testing and Automation, improving developer experience & workflows, and allowing our team to scale as we make improvements to our apps and codebase. In this role, expect to work on developing the infrastructure for automated testing at iHeartRadio. This person should be familiar with test automation strategies for large applications and be able to both create the tooling and foster a strong testing culture.

You Like

+ Launching new features and acts as a Test lead for projects. Working with Test Engineering and Development team to shepherd automation strategy.
+ Using metrics to guide test decisions, to ensure work is properly directed and to gauge test successes.
+ Proactively learning/developing new skills, reading up on new frameworks and approaches to test that might benefit your project.
+ Assessing impact of test strategy on team schedule and scope.

You Have:

+ Bachelor of Science in Computer Science, or equivalent combination of education and experience
+ Direct experience with Mobile and Web testing platforms, including Espresso, XCUITest, Cypress
+ Familiarity with CI/CD systems, preferably directly experience with Jenkins, GitHub, fastlane and JIRA
+ 3+ years experience with one or more programming languages (Javascript, Swift, Java, Kotlin)

iHeartRadio is now the number one commercial podcast publisher globally! We connect fans with their favorite music and radio by offering users thousands of live radio stations, personalized custom artist stations created by just one song or seed artist, and the top podcasts and personalities. We have continued to build on our position as the only major multi-platform audio company, with a reach extending across more than 250 platforms, 2,000 different connected devices, and 135 million registered users. Most recently we acquired Jelli (our technology platform for targeted advertisements) as well as Stuff Media (owner of How Stuff Works content). Outside of the U.S., we are in New Zealand, Australia, Canada, and Mexico!
An Equal Opportunity Employer. The Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity, religion, disability, ethnicity, national origin, marital status, status as a protected veteran, genetic information, or any other legally protected classification or status.
Report this job"
,,,,,,,,,,,,
QA,Aug-06-2020 14:27:40,SDET,Franklin-TN,Monster,1 day ago,Quality Assurance Engineer,Amazon Corporate LLC,"Seattle, WA",548-856-9658,,https://job-openings.monster.com/quality-assurance-engineer-seattle-wa-us-amazon-corporate-llc/219336330,Report this job
,,,,,,,,,,,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed,16 days ago,$57/hr | 100% Remote | C#/SDET Engineers | 1 year+,Vaco,"Nashville, TN 37027",,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tChne5sCnxe0OiqG2o7HdbLsx6V06c8wO3gayDKKJThw9kIoZ4sG5cFSUyymPcUHFR6w5TA8eWdYPQxYupTTcCRzyOmuEF4XnZiC_noZ_hVf4KfJfnwz_SsXmhDvR3ti8tbrlyd_aM9SDZF07nh-L1G15rxso61TVO6ysp7Cu-pc3cmdANi9JeecGWUtpbfFGrSgEdKOhA3p6fngBdDKIUYf3JanV9a-EkeBc5DtMrWOsn2_PyzZTen-p8YQACTOmjTWBZD7tL34jePfyAWLrBc7LPWrq1wOsJabDNtzlfOwkix-F0D65Udp_4cquVKr3Th9QosONOmuCkUNq0JRCjUcKb9UAIZp9ygB-1n7uQnP_LcdD3hwpSgkoDHyabVLEBchIa1WoQ_T2T9jGPKzM1K3x-y_0i8jM=&p=0&fvj=0&vjs=3,"C# with Selenium (Selenium with Java is fine)
API experience (their environment is WCF API and RESTful API)
SQL
Agile experience is a bonus but not
any ATI testing is a plus, especially if doing anything with REST"
,,,,,,,,,,,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed,18 days ago,$55/hr | QA Automation Engineer (C# and/or Selenium),Vaco,"Nashville, TN 37027",,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6vrSmw6F163Jvsh1XWKhYEW_ymwnXlDo7kv8w8LvyAoX9Gek7qN-rfvAIpV-QxteBP5Z3jp4DQ-K0vC9FwxIokN1kXkgciflsrWl1LqGzZ4-v6uWSvFc8uqMS2nPANhrwHcKe0U3wFLdn8t0CXyC__mqN8vOVSiyS40-W-MWnb-NqzV-NHaLYE7vNThly9aREveuKMm8SCe_afUXqSmIz7M3Apt8f86iNIfTxbMEum4NG-eoGt--_iY8YJiHLeFdIh1JNlNXrgYFuPXfdhhtYlwOlH8-YknGMYIfA-ABhPzIvlNkehdqGFEp8m4bfHXf5khbDXxRpMJG7yivPg0qirE7HXR8Y6l5Dqo0Yg8-GHIpJyDY_XMPTV_xsGBsgg9SEMISELLJog7dA8g9ak4jhUyRgYahvQwg-8=&p=1&fvj=0&vjs=3,"Must haves:
5+ years of experience in a Software Dev or SDET role using C# (or any other languages)
Selenium Webdriver
.Net Core and or ASP.Net experience
Interested in seeing people who are interested in doing development
Nice to haves:
Event driven architecture
Understanding of Azure DevOps
Understanding of Git repository or TFS"
,,,,,,,,,,,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed, 7 days ago,"Sr, Python Engineer ( SDET)",Gocool Inc,"Nashville, TN",,sssssss,https://www.indeed.com/company/Gocool-Inc/jobs/Senior-b271f911b7ca9bb3?fccid=1786faa86b5fb905&vjs=3,"Minimum 10yrs of IT experience
-Strong in Python coding.
-Experience with Python and Selenium.
Experience with pytest.
Experience in developing Test Automation frameworks.
Experience with Selenium Grid.
Experience with Test Automation in CICD pipeline.
Strong understanding of QA and QE Experience with Docker is a plus
Experience in mobile testing with Appium is a plus.
Job Types: Full-time, Contract
Pay: $50.00 - $60.00 per hour
Experience:
python: 5 years (Preferred)"
,,,,,,,,,,,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed, 9 days ago,"SDET consultant with C#, Selenium - 9 Years exp must",Qentelli,"Nashville, TN",526-846-9465,,https://www.indeed.com/company/Qentelli/jobs/Sdet-Consultant-Csharp-59e97469a77212a2?fccid=012a096beb2ea152&vjs=3,"Title: SDET consultant
Location : Nashville, TN
Duration: Long term
Must have:
Must should have C# exp
Must should have Selenium Exp
Must should have Mobile test exp
Excellent communication skills are very very important
Job Type: Full-time
Work Remotely:
Temporarily due to COVID-19"
,,,,,,,,,,,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed,22 days ago,Senior Software Development Engineer in Test (SDET),IDEMIA,"Franklin, TN 37067",,,https://www.indeed.com/rc/clk?jk=b1c028502fe731ed&fccid=56d1ac791824f1a6&vjs=3,"IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We are a distributed company leveraging the latest technologies to deliver world-class products in the private and public sectors of finance, telecom, identity, security, retail, sports entertainment, commercial, government, and IoT. We use a variety of technologies and approaches to deliver quality product and services to government agencies and technology companies. IDEMIA is a made up of a group of 14,000 diverse people from different nationalities, speaking over 20 different languages. Together, our solutions impact the everyday lives of citizens and nations. In this ever-changing world, protecting your identity is paramount. Join the team that is ensuring one person- one identity.

About the Role:
We are looking for a senior software engineer in test to join our engineering team in Franklin, TN. In this role, you will be a contributor on a team of developers to design and build automated tests for secure services and applications that make up our SaaS biometric-based enrollment ecosystem that delivers services to millions of customers.

Required Skills
You are a US Citizen (required)
You have 5+ years of experience as a software engineer or software engineer in test.
You are a self-starter with a strong work ethic and attention to detail.
You do not let the boundaries of essential responsibilities limit what you can do to help the team
You possess a tenacious need to learn and grow.
You are highly skilled with the Java programming language, Linux, SQL, and object-oriented concepts.
You have experience with Spring, JPA, Hibernate, and Domain Driven Design.
You have experience testing backend monolithic applications that have migrated to microservice architecture.
You have experience utilizing Amazon Web Services as part of solutions.
You have written as well as maintained unit and integration tests.

What are the high level essential responsibilities?
You will support the testing implementation to support the development and maintenance of highly scalable, fault-tolerant, enrollment platform microservices and applications.
You will identify and execute fixes to resolve technical debt items on our automation ecosystem.
You will participate in design and development of quality practices through test strategies and test automation.
You will refactor and update existing regression test suites for new enhancements.

Required Experience
Must be United States citizen (dual citizenship may be allowed)
IDEMIA is an equal opportunity employer.
We evaluate qualified applicants without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics."
,,,,,,,,,,,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed,0+ days ago,"Software Development Engineer, Test",iHeartRadio,"Nashville, TN",,,https://www.indeed.com/rc/clk?jk=11cb7725a227145e&fccid=5b2f9eaa91cb3370&vjs=3,"iHeartRadio is seeking multiple talented Software Developers in Test (SDET) to join our engineering team in Nashville, TN! This Engineer will own responsibility for Quality in our mobile and web platforms. In this role, expect to be involved in testing new features, identifying risks during product planning, developing core infrastructure around UI Testing and Automation, improving developer experience & workflows, and allowing our team to scale as we make improvements to our apps and codebase. In this role, expect to work on developing the infrastructure for automated testing at iHeartRadio. This person should be familiar with test automation strategies for large applications and be able to both create the tooling and foster a strong testing culture.
You Like
Launching new features and acts as a Test lead for projects. Working with Test Engineering and Development team to shepherd automation strategy.
Using metrics to guide test decisions, to ensure work is properly directed and to gauge test successes.
Proactively learning/developing new skills, reading up on new frameworks and approaches to test that might benefit your project.
Assessing impact of test strategy on team schedule and scope.
You Have:
Bachelor of Science in Computer Science, or equivalent combination of education and experience
Direct experience with Mobile and Web testing platforms, including Espresso, XCUITest, Cypress
Familiarity with CI/CD systems, preferably directly experience with Jenkins, GitHub, fastlane and JIRA
3+ years experience with one or more programming languages (Javascript, Swift, Java, Kotlin)

iHeartRadio is now the number one commercial podcast publisher globally! We connect fans with their favorite music and radio by offering users thousands of live radio stations, personalized custom artist stations created by just one song or seed artist, and the top podcasts and personalities. We have continued to build on our position as the only major multi-platform audio company, with a reach extending across more than 250 platforms, 2,000 different connected devices, and 135 million registered users. Most recently we acquired Jelli (our technology platform for targeted advertisements) as well as Stuff Media (owner of How Stuff Works content). Outside of the U.S., we are in New Zealand, Australia, Canada, and Mexico!"
,,,,,,,,,,sssssss,,
,Aug-06-2020 14:27:56,SDET,Franklin-TN,Indeed,0+ days ago,Quality Engineer,Lyft,"Nashville, TN 37203",,,https://www.indeed.com/rc/clk?jk=d868f8510cdda569&fccid=7dcf8477ac404a55&vjs=3,"At Lyft, our mission is to improve people's lives with the world's best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.
Lyft needs experienced engineers from a breadth of disciplines. Our team has a history of enabling rich and creative features that set the standard for the ride-sharing industry. We constantly innovate and incorporate cutting-edge technologies to make the lives of our community more enriched.
This Quality Engineer will be a driving force behind a comprehensive test strategy to complement our test automation. This is a hands-on position. You will schedule and participate in internal testing events, collaborate closely with product feature teams as they develop new features, and ensure every release happens on time without regression.
Responsibilities:
Perform exploratory testing and assist in the identification and design of test automation
Develop test strategy and implement test best practices across the entire technology stack
Improve our existing test automation frameworks and infrastructure and support engineers in writing automated test
Develop test plan by collaborating with the cross-functional team and identify tests for automation or automate them
Maintain existing UI tests, monitor failures and report bugs
Design and implement test strategy to improve efficiency in manual testing
Build and maintain systems to monitor test stability and report stability issues back to engineers
Experience:
5+ years in an SDET role
Strong object-oriented programming experience
Solid experience in building automation frameworks for web and writing reliable, scalable, and reusable automated tests
Solid experience with design patterns
Proficiency in Python, Java, Javascript
Familiarity with Cypress is desirable
Strong experience in developing and documenting test plan, test cases and reporting bugs for complex features
Track record of improving efficiency, especially through automation, balancing short-term and long-term priorities
Have significant experience and willingness to work with other teams such as engineering, product and release teams
Forward and proactively thinking ahead, and building for future changes in an ever-changing mobile ecosystem
Shows a passion for learning, especially through looking at new processes and tools that have significant impact on engineering teams
Experience of prioritizing and coordinating work across a large number of product teams is a plus
Excellent communication skills
Experience of prioritizing and coordinating work across a large number of product teams is a plus
Experienced in developing metrics against test coverage
Benefits:
Great medical, dental, and vision insurance options
In addition to 11 observed holidays, salaried team members have unlimited paid time off, hourly team members have 15 days paid time off
401(k) plan to help save for your future
18 weeks of paid parental leave. Biological, adoptive, and foster parents are all eligible
Pre-tax commuter benefits
Lyft Pink - Lyft team members get an exclusive opportunity to test new benefits of our Ridership Program
Lyft is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Lyft does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Lyft also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Lyft will also consider for employment qualified applicants with arrest and conviction records."
